epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,714.614,1.9314,9.41161,1.17179,0.00167,0.5,0.00106,0.00021,3.34769,17.4029,2.1011,0.0011486,0.0011486,0.0011486
45,735.049,1.9279,13.5795,1.38867,0.00167,0.5,0.00106,0.00021,3.34769,17.4029,2.1011,0.0011288,0.0011288,0.0011288
46,750.374,2.40985,8.95893,1.42982,0.00167,0.5,0.00106,0.00021,3.34769,17.4029,2.1011,0.001109,0.001109,0.001109
47,765.84,2.10735,12.4621,1.44358,0.00167,0.5,0.00106,0.00021,3.34769,17.4029,2.1011,0.0010892,0.0010892,0.0010892
48,783.638,2.21559,8.54969,1.38611,0.00167,0.5,0.00106,0.00021,3.34769,17.4029,2.1011,0.0010694,0.0010694,0.0010694
49,804.087,2.0692,7.23777,1.37518,0.00167,0.5,0.00106,0.00021,3.34769,17.4029,2.1011,0.0010496,0.0010496,0.0010496
50,822.431,2.36309,11.4504,1.30448,0,0,0,0,3.56581,18.6138,1.93935,0.0010298,0.0010298,0.0010298
51,838.27,2.21884,8.32407,1.38645,0,0,0,0,3.56581,18.6138,1.93935,0.00101,0.00101,0.00101
52,865.147,2.23045,11.8731,1.20411,0,0,0,0,3.56581,18.6138,1.93935,0.0009902,0.0009902,0.0009902
53,876.294,1.82129,6.95803,1.14624,0,0,0,0,3.56581,18.6138,1.93935,0.0009704,0.0009704,0.0009704
